case_id,sample_id,wsi_src,wsi_file_id,wsi_file_name,wsi_dl_url,rna_file_id,rna_file_name,paired
TCGA-55-8204,TCGA-55-8204-01Z-00-DX1,gdc_open,53bd7399-acde-49d6-8cb8-46ae7c18b915,TCGA-55-8204-01A-01-TS1.17e246ce-0151-4eef-a1e7-2dad233928d8.svs,,76ac1fee-bf40-463f-a4d8-cb9affe0e7c5,7086e8ce-d1e5-4901-ac33-31c299f46356.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-49-AARQ,TCGA-49-AARQ-01Z-00-DX1,gdc_open,fb9a1738-b38c-4259-8a1c-9cef480cf3f5,TCGA-49-AARQ-11A-02-TS2.7047AE2E-2B53-4E40-8CBA-7B9C28AFDB4C.svs,,82a68e91-48cc-400b-8520-4abcbff1a163,03c7ece7-500d-4c38-a600-bd6863562bfd.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-44-7669,TCGA-44-7669-01Z-00-DX1,gdc_open,f057f0f9-7879-412c-b593-bfc41b27938d,TCGA-44-7669-01Z-00-DX1.34d0c9ac-d3dc-4a5e-b99c-a8c1c1e120d1.svs,,9ffe8343-d98f-4c5f-b29a-cbcbdac0c008,8536c3c1-1e75-4ebc-b792-30d7d228a117.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-55-8205,TCGA-55-8205-01Z-00-DX1,gdc_open,e6cf0f2e-0f41-4ba0-844c-c26311f826ad,TCGA-55-8205-01A-01-TS1.2be8a54c-5344-43cc-819f-636498bb2e2b.svs,,c79162f6-be6e-46b1-aca7-438423fed6c3,98f9eaa2-866f-4223-ad25-f93020214b4e.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-L9-A444,TCGA-L9-A444-01Z-00-DX1,gdc_open,f9adade1-ca4f-4c3c-95d4-ba99f19bedaa,TCGA-L9-A444-01A-02-TS2.C284BE25-0367-4B78-A70A-B4B22A73E835.svs,,9bd26335-dd71-4821-b7d1-a4e24430fbb3,841e54a1-9d65-4256-b70e-eb64659b40a4.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-MP-A4TK,TCGA-MP-A4TK-01Z-00-DX1,gdc_open,6e57d134-1ad0-44ac-94a2-bcae4d795985,TCGA-MP-A4TK-01Z-00-DX1.57494698-D9D9-4C04-AAB2-16616CCFDCC9.svs,,7a59e84b-2d4a-4148-966d-7eadeb61ef38,9fde5e1d-5b86-411d-b194-3eb3c6305ebd.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-MP-A4T8,TCGA-MP-A4T8-01Z-00-DX1,gdc_open,2d17ae20-97e0-4591-b958-c0c90e7c79be,TCGA-MP-A4T8-01Z-00-DX1.3ECB340F-66C7-4F64-8E00-463BF82AAD83.svs,,c343f781-c1df-4349-aab3-f159329a11da,3a8b14d9-c521-48d4-9400-074d752afe1b.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-97-8177,TCGA-97-8177-01Z-00-DX1,gdc_open,fd527441-5a33-4982-b193-0fa2edaabf90,TCGA-97-8177-01A-01-TS1.5b2fb8cf-2f14-41ac-8a47-81022f66fe53.svs,,0e6fc8f1-34ca-4f3b-9d71-5a867e5efb07,4b6c958a-7e20-4b88-b30a-2406b123c8c1.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-MP-A4SY,TCGA-MP-A4SY-01Z-00-DX1,gdc_open,dbcfe203-d05e-480f-be46-cef17dad96aa,TCGA-MP-A4SY-01A-02-TSB.3E74E5C2-2D51-45CD-9A94-13FFB2F67A93.svs,,6b6751a5-2dad-4bb4-bfae-b2239770fad8,41fde338-9254-4ad2-9806-d7864c2d038e.rna_seq.augmented_star_gene_counts.tsv,True
TCGA-69-7978,TCGA-69-7978-01Z-00-DX1,gdc_open,c57beb44-1f62-44d4-910d-20e9f4439ac1,TCGA-69-7978-01Z-00-DX1.90a2bf2f-18e2-4bfe-b858-d2de619e2493.svs,,466db517-921b-47e8-b249-b4c9bd714bfd,28e5e6cc-60b0-4324-b05e-d05af474da90.rna_seq.augmented_star_gene_counts.tsv,True
